1024 10
0 1023
0 102 102
0 405 26
0 384 165
1 996 150
2 619 82
2 509 142
2 887 195
2 973 234
2 722 162
2 401 196
2 240 230
3 419 222
4 367 222
4 898 17
4 82 109
5 489 173
5 658 89
5 615 45
6 132 23
6 802 179
6 11 51
6 482 226
6 636 56
6 77 129
6 375 227
6 69 203
7 848 6
7 492 103
7 876 10
7 886 180
7 672 244
7 487 103
7 426 174
7 867 122
7 660 246
8 798 41
8 529 152
8 624 146
8 434 187
8 283 72
8 583 164
8 364 143
8 976 119
8 281 224
9 559 74
9 990 30
9 315 165
10 652 208
10 61 199
11 289 228
11 626 43
11 334 233
11 681 41
11 923 90
11 838 224
11 822 166
11 507 88
12 757 19
13 497 35
13 589 52
13 442 216
13 557 23
13 689 47
13 797 247
13 649 156
13 375 105
14 643 90
14 508 154
14 496 111
14 226 198
14 568 108
14 518 52
14 802 61
14 978 29
14 682 152
15 875 87
15 340 84
15 413 236
15 49 207
15 431 148
15 922 64
15 260 150
15 568 70
15 412 254
16 197 146
16 349 126
16 560 154
16 456 143
16 138 135
16 588 174
17 989 211
17 926 135
17 568 150
17 968 187
17 46 71
17 973 168
18 507 206
18 216 90
18 350 156
18 964 110
18 693 150
18 715 36
18 118 233
19 842 46
19 408 139
19 132 101
19 318 156
19 178 207
19 693 235
19 961 8
19 214 14
20 267 31
20 301 242
21 344 186
21 826 17
21 663 50
21 58 195
21 471 212
21 1019 151
21 180 192
21 279 127
21 398 160
23 257 12
23 168 82
23 246 23
23 578 197
23 920 211
23 885 39
23 638 135
23 59 206
24 191 152
24 283 188
24 815 173
25 884 137
25 514 145
25 666 183
25 188 114
25 425 151
25 812 31
25 68 193
25 252 35
25 218 222
27 300 212
27 958 159
28 983 170
28 186 106
28 356 118
28 418 112
29 225 18
29 533 41
29 929 32
29 777 226
29 286 131
30 297 221
30 409 137
30 652 253
30 972 209
30 321 44
30 1014 253
30 566 168
30 270 88
30 231 237
31 814 195
31 198 31
31 262 127
31 78 68
31 307 56
31 228 181
31 842 79
31 503 219
32 887 167
32 237 191
32 653 172
32 978 186
32 581 92
32 894 83
32 306 175
33 642 190
33 958 53
33 346 105
33 775 142
33 397 30
35 748 9
35 159 240
35 35 138
35 189 10
35 344 45
35 208 131
35 361 158
35 675 7
36 25 246
36 94 234
36 570 216
36 308 233
36 245 160
36 427 54
36 552 165
37 217 54
37 480 124
37 965 201
37 199 211
37 208 3
37 419 112
38 748 61
38 451 254
38 520 68
38 111 173
39 722 225
40 18 246
40 165 132
40 679 87
40 225 156
40 812 211
40 661 173
40 344 163
41 671 157
41 51 130
41 317 248
43 562 149
43 441 112
43 940 70
43 962 48
43 893 137
44 639 242
44 318 25
44 422 106
44 950 205
44 925 181
44 355 227
45 125 106
45 19 169
45 222 127
45 136 246
45 464 75
45 927 11
45 1015 71
45 319 106
46 473 95
46 745 77
46 922 174
46 659 229
46 967 130
46 757 229
47 68 163
47 472 103
47 514 101
47 895 210
47 421 96
47 198 201
48 920 6
49 531 74
49 299 82
49 399 77
50 540 34
50 942 161
51 19 195
51 289 138
51 220 115
51 705 129
51 992 184
51 769 82
52 511 93
52 698 19
52 695 138
52 158 14
52 505 177
52 584 3
52 848 85
53 586 14
53 955 181
53 82 65
53 469 15
53 954 255
53 425 184
54 159 122
54 308 132
57 372 12
57 260 190
57 920 157
58 622 142
58 366 164
59 848 192
59 246 120
59 660 250
59 756 207
59 992 174
59 75 63
59 708 138
59 512 83
60 362 249
60 60 180
60 777 72
60 447 54
60 709 116
60 956 20
60 950 9
60 535 110
60 796 233
62 340 7
62 195 34
62 26 60
62 562 228
62 615 238
62 159 111
62 626 130
62 99 102
62 87 4
63 475 55
63 697 121
63 2 108
63 1010 161
64 229 160
64 35 199
64 861 142
65 328 146
65 223 77
66 129 19
66 674 78
66 865 150
66 637 33
66 370 167
66 250 77
